screen_name,t_counts,status_id,user_id,created_at,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
bsindia,136,1240508297276342272,43855487,2020-03-19T05:20:00Z,"This comes a day after the board chief executive and secretary said the #exams would be held as per schedule

#coronavirus #COVID19

https://t.co/G5ujMiZdxT",TweetDeck,,,,False,False,139,3,,,,1866881,378,,2009-06-01T08:52:08Z,True,en
CNNnews18,107,1240471704847056897,6509832,2020-03-19T02:54:35Z,"#NewsAlert – We have been in very intense talks with the private health sector. We have cases that are coming up positive in private hospitals and the government is monitoring them: Dr Vinod Paul (Member-Health, NITI Aayog) tells @maryashakil.

#CoronavirusOutbreak https://t.co/wGWhilTWXq",Twitter Media Studio - LiveCut,,,,False,False,178,4,,,,4355757,439,,2007-06-01T20:31:01Z,True,en
htTweets,130,1240464147160002560,36327407,2020-03-19T02:24:34Z,"#Coronavirus #Covid19India | Amid focus on hygiene, govt to ensure sufficient water supply

https://t.co/rfb3OJFAcv https://t.co/w8hC1JW1Xv",TweetDeck,,,,False,False,2971,10,,,,7154075,126,,2009-04-29T10:11:34Z,True,en
openletterbot,337,1240766222775414784,938533034659168256,2020-03-19T22:24:54Z,"🖋 Support Stephanie by signing “Vote to Expel Senator Richard Burr from the Senate” and I’ll deliver a copy to your officials too: https://t.co/o921W0t2iu

📨 Last delivered to @SenatorCardin and @ChrisVanHollen #MD08 #MDpolitics #MDpoli #COVID19 https://t.co/loEp13Tsnq",Resistbot Open Letters,,,,False,False,2,0,,,,16801,3,,2017-12-06T22:18:07Z,True,en
htTweets,130,1240561900309667840,36327407,2020-03-19T08:53:00Z,"2 million NRIs in 10 countries affected by #coronavirus

https://t.co/R1n898AqRo https://t.co/zayCYDl7t4",TweetDeck,,,,False,False,2971,6,,,,7154080,126,,2009-04-29T10:11:34Z,True,en
openletterbot,337,1240748163142565888,938533034659168256,2020-03-19T21:13:08Z,"📬 I delivered “Vote-by-mail” from James, a constituent in Arlington, Mass., to @RepKClark, @SenMarkey and @SenWarren #MA05 #MApoli #MApols #COVID19

📝 Write your own: https://t.co/z5540KFSKD https://t.co/P3u0ZFm2q8",Resistbot Open Letters,,,,False,False,2,1,,,,16800,3,,2017-12-06T22:18:07Z,True,en
ANI,112,1240523986204647425,355989081,2020-03-19T06:22:20Z,"128 people have been home quarantined, in order to control the spread of #Coronavirus: Health Department, Uttarakhand",Twitter Web App,,,,False,False,0,88,,,,3509189,0,,2011-08-16T05:23:41Z,True,en
ABSCBNNews,137,1240739036324433921,15872418,2020-03-19T20:36:52Z,ABS-CBN launches campaign to help poor families hit by #COVID19. #LuzonLockdown https://t.co/eeEVx1SyUc,TweetDeck,,,,False,False,1071,27,,,,6733162,1075,,2008-08-16T10:09:33Z,True,en
IndiaToday,132,1240486282356076545,19897138,2020-03-19T03:52:31Z,"Nepal puts country under lockdown over #coronavirus scare

https://t.co/LV4vLFY5bQ",Twitter Web App,,,,False,False,4400,15,,,,5278695,229,,2009-02-02T07:21:54Z,True,en
SkyNews,124,1240624060830105600,7587032,2020-03-19T13:00:00Z,"Key facts you need to know about #COVID19: What is it, what are the symptoms, and how do we stop it?

All you need to know on the #coronavirus 👉 https://t.co/uWBZwKZlsm https://t.co/9FuMiZDEWY",Twitter Media Studio,,,,False,False,24,42,,,,5634482,27,,2007-07-19T14:42:53Z,True,en
openletterbot,337,1240764468050546689,938533034659168256,2020-03-19T22:17:56Z,"🖋 Support Eric by signing “Vote to Expel Senator Richard Burr from the Senate” and I’ll deliver a copy to your officials too: https://t.co/o921W0t2iu

📨 Last delivered to @JohnCornyn and @SenTedCruz #TX21 #TXpolitics #COVID19 https://t.co/6IEILsMnCm",Resistbot Open Letters,,,,False,False,2,0,,,,16801,3,,2017-12-06T22:18:07Z,True,en
Oneindia,119,1240655853369229312,18159588,2020-03-19T15:06:20Z,"Govt of India is keeping a close watch on the track record of the spread of #Corovnavirus.: PM @narendramodi.

#BeatCOVID19 #CoronavirusOutbreak #COVID19

Catch all live updates here: https://t.co/d63csTcmUV",Twitter Web App,,,,False,False,350,1,,,,60605,662,,2008-12-16T09:44:12Z,True,en
ians_india,114,1240521888108929026,141584822,2020-03-19T06:14:00Z,"Amid the #novelcoronavirus (#COVID19) pandemic crisis, the #IndianRailways on Thursday said that it has cancelled 84 pairs of trains, taking the total number of train cancelled to 155 pairs to contain the spread of the pandemic. 

#coronavirusindia https://t.co/PZDaGxZ7In",Twitter Web App,,,,False,False,14,0,,,,32572,45,,2010-05-08T13:21:45Z,True,en
timesofindia,187,1240613504807100419,134758540,2020-03-19T12:18:03Z,"COVID-19: India reports its fourth coronavirus death; total number of cases climbs to 173 

READ: https://t.co/KWXg461tu2 

#CautionYesPanicNo

#COVID19India
#CoronavirusOutbreak
#CoronavirusUpdates 👇

https://t.co/Wn5tgSPtwd https://t.co/6BkjyGYi3u",TweetDeck,,,,False,False,5,7,,,,12397657,530,,2010-04-19T10:50:15Z,True,en
TheQuint,108,1240628946418290688,2982269822,2020-03-19T13:19:25Z,"The European Union's chief Brexit negotiator Michel Barnier has the novel #coronavirus that is sweeping the globe. 
https://t.co/J4U3pWNz2C",TweetDeck,,,,False,False,263,2,,,,438455,314,,2015-01-14T09:43:21Z,True,en
